seqName,errors,warnings,failedGenes
"EV71/Homo_sapiens/VNM/42/2011","","",""
"EV71/Homo_sapiens/VNM/43/2012","","",""
"EV71/Homo_sapiens/VNM/44/2012","","",""
"EV71/Homo_sapiens/VNM/45/2012","","",""
"EV71/Homo_sapiens/VNM/46/2012","","",""
"EV71/Homo_sapiens/VNM/47/2012","","",""
"EV71/Homo_sapiens/VNM/49/2012","","",""
"EV71/Homo_sapiens/VNM/5/2011","","",""
"EV71/Homo_sapiens/VNM/50/2012","","",""
"EV71/Homo_sapiens/VNM/51/2012","","",""
"EV71/Homo_sapiens/VNM/52/2012","","",""
"EV71/Homo_sapiens/VNM/53/2012","","",""
"EV71/Homo_sapiens/VNM/54/2012","","",""
"EV71/Homo_sapiens/VNM/55/2012","","",""
"EV71/Homo_sapiens/VNM/57/2012","","",""
"EV71/Homo_sapiens/VNM/58/2012","","",""
"EV71/Homo_sapiens/VNM/59/2012","","",""
"EV71/Homo_sapiens/VNM/6/2011","","",""
"EV71/Homo_sapiens/VNM/61/2012","","",""
"EV71/Homo_sapiens/VNM/62/2012","","",""
"EV71/Homo_sapiens/VNM/63/2012","","",""
"EV71/Homo_sapiens/VNM/64/2012","","",""
"EV71/Homo_sapiens/VNM/66/2012","","",""
"EV71/Homo_sapiens/VNM/67/2012","","",""
"EV71/Homo_sapiens/VNM/7/2011","","",""
"EV71/Homo_sapiens/VNM/71/2012","","",""
"EV71/Homo_sapiens/VNM/72/2012","","",""
"EV71/Homo_sapiens/VNM/73/2012","","",""
"EV71/Homo_sapiens/VNM/75/2012","","",""
"EV71/Homo_sapiens/VNM/77/2012","","",""
"EV71/Homo_sapiens/VNM/78/2012","","",""
"EV71/Homo_sapiens/VNM/79/2012","","",""
"EV71/Homo_sapiens/VNM/8/2011","","",""
"EV71/Homo_sapiens/VNM/80/2012","","",""
"EV71/Homo_sapiens/VNM/89/2012","","",""
"EV71/Homo_sapiens/VNM/9/2011","","",""
"EV71/Homo_sapiens/VNM/90/2012","","",""
"EV71/Homo_sapiens/VNM/91/2012","","",""
"EV71/Homo_sapiens/VNM/93/2012","","",""
"EV71/Homo_sapiens/VNM/94/2012","","",""
"EV71/Homo_sapiens/VNM/96/2012","","",""
"EV71/Homo_sapiens/VNM/97/2012","","",""
"EV71/Homo_sapiens/VNM/98/2012","","",""
"EV71/Homo_sapiens/VNM/99/2012","","",""
"EV71/Hubei_XF/CHN/2010","","",""
"EV71/Hun11_32/2011","","",""
"EV71/Hun11_4/2011","","",""
"EV71/Hun12_10/2012","","",""
"EV71/Hun12_14/2012","","",""
"EV71/Jinan1002","","",""
"EV71/Jinan1004","","",""
"EV71/Jinan1005","","",""
"EV71/Jinan1006","","",""
"EV71/JN200803","","",""
"EV71/JN200804","","",""
"EV71/Lanzhou01","","",""
"EV71/Ningbo.CHN/001/2010","","",""
