accession	name	segment	date	host	country	abbreviation	virus	strain
FJ357385	M0380-TW08	N/A	2008	Human	2008	Taiwan	N/A	M0380-TW08
FJ357364	S0044-TW03	N/A	2003	Human	2003	Taiwan	N/A	S0044-TW03
FJ415463	N5774-TW98	N/A	1998	Human	1998	Taiwan	N/A	N5774-TW98
FJ415466	N6360-TW98	N/A	1998	Human	1998	Taiwan	N/A	N6360-TW98
FJ461783	NUH0047/SIN/08	N/A	N/A	Unknown	N/a	Singapore	EV71	NUH0047/SIN/08
FJ461786	NUH0013/SIN/08	N/A	N/A	Unknown	N/a	Singapore	EV71	NUH0013/SIN/08
FJ469159	Cy29/BJ/CHN/2008	N/A	2008	Human	2008	China	C4	Cy29/BJ/CHN/2008
FJ469160	CY43/BJ/CHN/2008	N/A	2008	Human	2008	China	C4	CY43/BJ/CHN/2008
FJ594956	ZJ001	N/A	N/A	Unknown	N/a	China	N/A	ZJ001
FJ600325	EV71/Jiangsu.P.R.C/07.08/10	N/A	2008-07	Unknown	2008-07	China	C4	EV71/Jiangsu.P.R.C/07.08/10
FJ765416	542-Anhui-08	N/A	2008	Human	2008	China	N/A	542-Anhui-08
FJ765426	kunming29-08	N/A	2008	Human	2008	China	N/A	kunming29-08
FJ846668	Siriraj28/TH/01	N/A	2001	Human	2001	Thailand	N/A	Siriraj28/TH/01
FJ846677	Siriraj07/TH/03	N/A	2003	Human	2003	Thailand	N/A	Siriraj07/TH/03
FM201323	EV71/MY/2006/1764454	N/A	N/A	Human	N/a	Malaysia	N/A	EV71/MY/2006/1764454
FM201340	EV71/BRU/2006/35245	N/A	N/A	Human	N/a	Brunei	N/A	EV71/BRU/2006/35245
FN598722	ANN1254_FR00	N/A	2000-06-19	Unknown	2000-06-19	France	N/A	ANN1254_FR00
FN665298	CF1744_FRA00	N/A	2000	Unknown	2000	France	Enterovirus 71	CF1744_FRA00
FN665301	POI515_FRA00	N/A	2000	Unknown	2000	France	Enterovirus 71	POI515_FRA00
HG934188	LYO16282_FRA03	N/A	2003	Human	2003	France	N/A	LYO16282_FRA03
FN665335	GRE29_FRA07	N/A	2007	Unknown	2007	France	Enterovirus 71	GRE29_FRA07
HG934236	NAN215_FRA07	N/A	2007	Human	2007	France	N/A	NAN215_FRA07
HG934206	STU535542_GER04	N/A	2004	Human	2004	Germany	N/A	STU535542_GER04
FN598725	CF605_FRA00	N/A	2000-05-27	Unknown	2000-05-27	France	N/A	CF605_FRA00
FN598734	CF097017_FRA03	N/A	2003-04-05	Human	2003-04-05	France	N/A	CF097017_FRA03
HG934243	BRE537_FRA08	N/A	2008	Human	2008	France	N/A	BRE537_FRA08
FN665373	VIE148_AUT04	N/A	2004	Unknown	2004	Austria	Enterovirus 71	VIE148_AUT04
GQ121417	EV71/Fuyang.Anhui.CHN/17.08/10	N/A	2008-04	Human	2008-04	China	C4	EV71/Fuyang.Anhui.CHN/17.08/10
GQ121428	EV71/Fuyang.Anhui.CHN/17.08/13	N/A	2008-04	Human	2008-04	China	C4	EV71/Fuyang.Anhui.CHN/17.08/13
GQ121419	EV71/Fuyang.Anhui.CHN/17.08/6	N/A	2008-04	Human	2008-04	China	C4	EV71/Fuyang.Anhui.CHN/17.08/6
GQ253405	HZ121F/SD/CHN/2009/EV71	N/A	2009	Human	2009	China	N/A	HZ121F/SD/CHN/2009/EV71
GQ253409	LC0013H/SD/CHN/2009/EV71	N/A	2009	Human	2009	China	N/A	LC0013H/SD/CHN/2009/EV71
GQ253415	LY0009F/SD/CHN/2009/EV71	N/A	2009	Human	2009	China	N/A	LY0009F/SD/CHN/2009/EV71
GQ406340	Beijing0907	N/A	2009-07	Human	2009-07	China	C4	Beijing0907
GQ855291	EV71/Lanzhou07	N/A	2008	Human	2008	China	C	EV71/Lanzhou07
GQ855294	EV71/Lanzhou10	N/A	2008	Human	2008	China	C	EV71/Lanzhou10
GU129023	EV71.H3-TY	N/A	2009-05	Human	2009-05	China	N/A	EV71.H3-TY
GU142873	95.318.0855	N/A	1995-06-07	Human	1995-06-07	Australia	EV71	95.318.0855
GU353081	Changzhou/JS10/CHN09	N/A	2009-04	Human	2009-04	China	N/A	Changzhou/JS10/CHN09
GU353100	Zhenjiang/JS45/CHN09	N/A	2009-06	Human	2009-06	China	N/A	Zhenjiang/JS45/CHN09
