accession	name	segment	date	host	country	abbreviation	virus	strain
KJ686138	EV71/Homo sapiens/VNM/117/2012		2012-04-12	Human	2012-04-12	Viet Nam		EV71/Homosapiens/VNM/117/2012
KJ686139	EV71/Homo sapiens/VNM/43/2012		2012-01-01	Human	2012-01-01	Viet Nam		EV71/Homosapiens/VNM/43/2012
KJ686173	EV71/Homo sapiens/VNM/19/2011		2011-10-21	Human	2011-10-21	Viet Nam		EV71/Homosapiens/VNM/19/2011
KJ686177	EV71/Homo sapiens/VNM/2/2011		2011-08-30	Human	2011-08-30	Viet Nam		EV71/Homosapiens/VNM/2/2011
KJ686197	EV71/Homo sapiens/VNM/64/2012		2012-02-13	Human	2012-02-13	Viet Nam		EV71/Homosapiens/VNM/64/2012
KJ686207	EV71/Homo sapiens/VNM/237/2011		2011-12-04	Human	2011-12-04	Viet Nam		EV71/Homosapiens/VNM/237/2011
KJ686212	EV71/Homo sapiens/VNM/3/2011		2011-09-15	Human	2011-09-15	Viet Nam		EV71/Homosapiens/VNM/3/2011
KJ686216	EV71/Homo sapiens/VNM/142/2012		2012-05-09	Human	2012-05-09	Viet Nam		EV71/Homosapiens/VNM/142/2012
KJ686237	EV71/Homo sapiens/VNM/212/2011		2011-11-05	Human	2011-11-05	Viet Nam		EV71/Homosapiens/VNM/212/2011
KJ686244	EV71/Homo sapiens/VNM/73/2012		2012-02-26	Human	2012-02-26	Viet Nam		EV71/Homosapiens/VNM/73/2012
KJ686248	EV71/Homo sapiens/VNM/127/2012		2012-04-21	Human	2012-04-21	Viet Nam		EV71/Homosapiens/VNM/127/2012
KJ686257	EV71/Homo sapiens/VNM/222/2011		2011-11-22	Human	2011-11-22	Viet Nam		EV71/Homosapiens/VNM/222/2011
KJ686265	EV71/Homo sapiens/VNM/24/2011		2011-10-25	Human	2011-10-25	Viet Nam		EV71/Homosapiens/VNM/24/2011
KJ686267	EV71/Homo sapiens/VNM/119/2012		2012-04-12	Human	2012-04-12	Viet Nam		EV71/Homosapiens/VNM/119/2012
KJ686276	EV71/Homo sapiens/VNM/22/2011		2011-10-24	Human	2011-10-24	Viet Nam		EV71/Homosapiens/VNM/22/2011
KJ686278	EV71/Homo sapiens/VNM/209/2011		2011-10-26	Human	2011-10-26	Viet Nam		EV71/Homosapiens/VNM/209/2011
KJ686282	EV71/Homo sapiens/VNM/130/2012		2012-04-24	Human	2012-04-24	Viet Nam		EV71/Homosapiens/VNM/130/2012
KJ686305	EV71/Homo sapiens/VNM/63/2012		2012-02-07	Human	2012-02-07	Viet Nam		EV71/Homosapiens/VNM/63/2012
KP289419	EV71/P1034/2013/China		2013-XX-XX	Human	2013	China		EV71/P1034/2013/China
KP308404	EV71/Homo sapiens/KHM/309/2012		2012-11-07	Human	2012-11-07	Cambodia		EV71/Homosapiens/KHM/309/2012
KP308427	EV71/Homo sapiens/KHM/312/2012		2012-12-06	Human	2012-12-06	Cambodia		EV71/Homosapiens/KHM/312/2012
KP308430	EV71/Homo sapiens/KHM/280/2012		2012-08-07	Human	2012-08-07	Cambodia		EV71/Homosapiens/KHM/280/2012
KP308445	EV71/Homo sapiens/KHM/330/2012		2012-07-12	Human	2012-07-12	Cambodia		EV71/Homosapiens/KHM/330/2012
KP308453	EV71/Homo sapiens/KHM/268/2012		2012-07-24	Human	2012-07-24	Cambodia		EV71/Homosapiens/KHM/268/2012
KP691645	02-1-055		2013-10-06	Unknown	2013-10-06	Viet Nam		02-1-055
