seqName,errors,warnings,failedGenes
"MY81/Sa/03/A","Unable to align: no seed matches","","<<ALL>>"
"MY85/Sa/03/A","Unable to align: no seed matches","","<<ALL>>"
"MY88/Sa/03/W","Unable to align: no seed matches","","<<ALL>>"
"003/XM/2010","Unable to align: no seed matches","","<<ALL>>"
"FY0805","Unable to align: no seed matches","","<<ALL>>"
"Shanghai36-2009","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"Shanghai117-2009","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"UNKNOWN-HW823787","Unable to align: no seed matches","","<<ALL>>"
"UNKNOWN-HZ411062","Unable to align: no seed matches","","<<ALL>>"
"UNKNOWN-HZ411063","Unable to align: no seed matches","","<<ALL>>"
"UNKNOWN-JB995131","Unable to align: no seed matches","","<<ALL>>"
"02205","","",""
"H3","","",""
"394/GD/China/2009","","",""
"067/GD/China/2009","","",""
"061/GD/China/2009","","",""
"30/GD/China/2010","","",""
"997/GD/China/2010","","",""
"38-ZZ-HN-CHN-2010","","",""
"BJ01","Unable to align: no seed matches","","<<ALL>>"
"EV71/Ningbo.CHN/065/2010","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"MP9-2","Unable to align: no seed matches","","<<ALL>>"
"SHAPHC532F/SH/CHN/10","","",""
"Luoyang/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"Nanyang/2011-China","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"N-480","","",""
"N-901A","","",""
"28/EV71/YN/CHN/2010","","",""
"CAF-NMA-03-008","","",""
"PM-17181-00","","",""
"PM-11977-99","","",""
"PM-1657636-06","","",""
"PM-13899-97","","",""
"2-YN-CHN-2009","","",""
"11-YN-CHN-2009","","",""
"4643-TW98","Unable to align: no seed matches","","<<ALL>>"
"GD08EV298","","",""
"GD08EV268","","",""
"GD08EV216","","",""
"GD08EV183","","",""
"GD08EV170","","",""
"GD09EV524","","",""
"GD09EV475","","",""
"GD09EV472","","",""
"GD09EV470","","",""
"GD09EV466","","",""
"GD09EV420","","",""
"GD09EV372","","",""
"GD09EV305","","",""
"GD09EV294","","",""
"GD09EV255","","",""
"GD09EV247","","",""
"GD09EV246","","",""
"GD09EV241","","",""
"GD09EV147","","",""
"GD09EV137","","",""
"GD09EV059","","",""
"GD09EV053","","",""
"GD09EV039","","",""
"GD09EV034","","",""
"GD09EV030","","",""
"GD09EV027","","",""
"GD09EV579","","",""
"GD09EV484","","",""
"GD09EV482","","",""
"2010-EV71-974-2010","","",""
"2010-EV71-801-2010","","",""
"2010-EV71-599-2010","","",""
"2010-EV71-579-2010","","",""
"2010-EV71-546-2010","","",""
"2010-EV71-495-2010","","",""
"G283-922F/HeN/CHN/2009","","",""
"M184-1177F/HeN/CHN/2009","","",""
"EV71/Ningbo.CHN/087/2009","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"C1-4215-TW-98","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"Nj031-JS-CHN2010","","",""
"Nj047-JS-CHN2010","","",""
"BRU/2006/35334","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Ningbo.CHN/310/2009","","",""
"EV71/Ningbo.CHN/216/2003","","",""
"EV71/Yuyao.CHN/244/2010","","",""
"EV71/Cixi.CHN/014/2010","","",""
"EV71/Ningbo.CHN/347/2009","","",""
"09-4377","","",""
"EV71/Jinan1004","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"Ningbo.CHN/015/2011","","",""
"Cixi.CHN/169/2010","","",""
"Cixi.CHN/192/2010","","",""
"Cixi.CHN/266/2010","","",""
"Cixi.CHN/287/2010","","",""
"3499","","",""
"03284/SD/CHN/03","","",""
"07124/SD/CHN/07","","",""
"08266/SD/CHN/08","","",""
"NJ02/JS/CHN/2010","","",""
"EV71/CMU33-1/BJ/CHN/2009","","",""
"Zhenjiang201006","","",""
"Zhenjiang201008","","",""
"BJ","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"SCDC05","","",""
"SCDC032010","","",""
"SCDC062010","","",""
"SCDC062011","","",""
"SCDC082011","","",""
"C10915","","",""
"Shanghai10-MH704","","",""
"Shanghai08-79V2","","",""
"Shanghai08-171R4","","",""
"Jiangsu2008-LYG47","","",""
"Jiangsu2008-LYG240","","",""
"WHEV","","",""
"HuN09-2","","",""
"2008-07","","",""
"2008-09","","",""
"2009-01","","",""
"2009-13","","",""
"540V/VNM/05","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"29256_RUS_2007","","",""
"FY7VP5/AH/CHN/2008","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2010082","","",""
"49/HZ/GD/China/2010","","",""
"292/HZ/GD/CHN","","",""
"440/HZ/GD/CHN","","",""
"AS69-2011","","",""
"GY25-2011","","",""
"LPS8-2011","","",""
"ZY30-2011","","",""
"14QN-2010","","",""
"189GY-2010","","",""
"239GY-2010","","",""
"250GY-2010","","",""
"252GY-2010","","",""
"28BJ-2010","","",""
"28-2BJ-2010","","",""
"31BJ-2010","","",""
"33-2BJ-2010","","",""
"34BJ-2010","","",""
"39-2BJ-2010","","",""
"44-2BJ-2010","","",""
"49BJ-2010","","",""
"49-2BJ-2010","","",""
"35TR-2010","","",""
"37TR-2010","","",""
"56LPS-2010","","",""
"57LPS-2010","","",""
"3-2008","","",""
"EV71/CMU4201-1/BJ/CHN/2007","","",""
"EV71/CMU0804-1/BJ/CHN/2008","","",""
"EV71/CMU5233-1/BJ/CHN/2008","","",""
"EV71/CMU5311-1/BJ/CHN/2008","","",""
"1201/NC/CHN/2012","","",""
"TJ2010-EV71-36","","",""
"201107","","",""
"201106","","",""
"FY17.08-4/AH/CHN/2008","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"SD09-21/SD/CHN/2009","Unable to align: no seed matches","","<<ALL>>"
"SH-6/SH/CHN/2002","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"233/HZ/GD/CHN","","",""
"Wuhan1117/HuB/CHN/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"HCM30-VNM-2011","","",""
"HCM132-VNM-2011","","",""
"V04-2216042","","",""
"52-ZZ-HN-CHN-2010","","",""
"40-ZZ-HN-CHN-2010","Unable to align: no seed matches","","<<ALL>>"
"ROU09-FRA11","","",""
"GZ3298/GD/CHN/2010","","",""
"GZ3077/GD/CHN/2010","","",""
"GZ3049/GD/CHN/2010","","",""
"GZ3053/GD/CHN/2010","","",""
"GZ5425/GD/CHN/2012","","",""
"GZ3802/GD/CHN/2009","","",""
"GZ3882/GD/CHN/2009","","",""
"GZ5229/GD/CHN/2012","","",""
"GZ5380/GD/CHN/2012","","",""
"GZ5398/GD/CHN/2012","","",""
"GZ3217/GD/CHN/2010","","",""
"GZ3318/GD/CHN/2010","","",""
"JB14080040","","",""
"JB14080050","","",""
"JB14080110","","",""
"JB14080132","","",""
"JB14080184","","",""
"JB14080283","","",""
"JB14080294","","",""
"JB14080304","","",""
"JB14080356","","",""
"JB14080530","","",""
"JB14080533","","",""
"JB14080550","","",""
"JB14080576","","",""
"JB143090003","","",""
"JB143090079","","",""
"JB143090086","","",""
"JB141030049","","",""
"JB141030219","","",""
"JB141130142","","",""
"JB141230208","","",""
"JB141210025","","",""
"273","Unable to align: no seed matches","","<<ALL>>"
"11-2","Unable to align: no seed matches","","<<ALL>>"
"11-4","Unable to align: no seed matches","","<<ALL>>"
"11-8","Unable to align: no seed matches","","<<ALL>>"
"E7","Unable to align: no seed matches","","<<ALL>>"
"27578_EV71_RUS_2007","Unable to align: no seed matches","","<<ALL>>"
"34020_EV71_RUS_2009","Unable to align: no seed matches","","<<ALL>>"
"38555_EV71_KGZ_2010","","",""
"EV0590-Johor-2010","","",""
"EV1233-Kedah-2010","","",""
"EV1299-Melaka-2010","","",""
"EV0791-Johor-2012","","",""
"EV0891-Johor-2012","","",""
"EV1325-Johor-2012","","",""
"EV0997-Pahang-2012","","",""
"A2011116","","",""
"123/LY/CHN/AM/10/EV71","","",""
"201/LY/CHN/AM/10/EV71","","",""
"C4a-01279-TW-2010","","",""
"B5-03179-TW-2011","","",""
"B5-03400-TW-2011","","",""
"B5-03585-TW-2011","","",""
"B5-00419-TW-2012","","",""
"B5-01295-TW-2012","","",""
"B5-96059-TW-2012","","",""
"C2-NHRIEV95528-TW-Jun-25-12","Unable to align: no seed matches","","<<ALL>>"
"EV71/wuhan/3018/2010","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"SEP4","Unable to align: no seed matches","","<<ALL>>"
"SiICRC05/TH/2012","","",""
"SiICRC03/TH/2012","","",""
"SK096/2013","","",""
"KM11-20","","",""
"LY10018/SD/CHN/2010/EV71","","",""
"LY10027/SD/CHN/2010/EV71","","",""
"LY10046/SD/CHN/2010/EV71","","",""
"LY10054/SD/CHN/2010/EV71","","",""
"LY10074/SD/CHN/2010/EV71","","",""
"LY10085/SD/CHN/2010/EV71","","",""
"LY10086/SD/CHN/2010/EV71","","",""
"LY10093/SD/CHN/2010/EV71","","",""
"LY10130/SD/CHN/2010/EV71","","",""
"V08-179","","",""
"FL005T/AH/CHN/2011","","",""
"FL018T/AH/CHN/2011","","",""
"N1745-TW08","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"M988-TW12","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"M957-TW12","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"CS688/HN/CHN/12","","",""
"LY10002/SD/CHN/2010/EV71","","",""
"LY10012/SD/CHN/2010/EV71","","",""
"LY10033/SD/CHN/2010/EV71","","",""
"LY10123/SD/CHN/2010/EV71","","",""
"LY10157/SD/CHN/2010/EV71","","",""
"LY10164/SD/CHN/2010/EV71","","",""
"C4a-70365-TW-2010","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"SHC040/CHN/2011","","",""
"wenzhou227","Unable to align: no seed matches","","<<ALL>>"
"42934_KAZ_2012","","",""
"46605_RUS_2013","","",""
"EV71/Homosapiens/VNM/150/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/117/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/43/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/19/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/2/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/64/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/237/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/3/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
